parent_asset_id,resource_id,source_file,source_extension,source_size_bytes,source_sha256,object_type,object_name,row_count,column_count,output_path,extraction_state,failure_reason
WEB-0048,WEB-0048-R01-E014,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, Price, US$, seas. adj..xlsx",.xlsx,218763,3c654355464fd17d94c15b76d543cbe3d674318de092fb922e637aeec8ea0621,xlsx_sheet,quarterly,122,52,03_提取表格/WEB-0048/WEB-0048-R01-E014/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E015,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Foreign Reserves, Months Import Cover, Goods.xlsx",.xlsx,409216,01e52dd2f31965e08306ae1f18b5af7a35572a9687ee9cf0671fd10d2ffa25e4,xlsx_sheet,annual,32,119,03_提取表格/WEB-0048/WEB-0048-R01-E015/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E015,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Foreign Reserves, Months Import Cover, Goods.xlsx",.xlsx,409216,01e52dd2f31965e08306ae1f18b5af7a35572a9687ee9cf0671fd10d2ffa25e4,xlsx_sheet,monthly,362,119,03_提取表格/WEB-0048/WEB-0048-R01-E015/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E016,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, constant 2010 LCU, millions, seas. adj..xlsx",.xlsx,126722,87a5edef83bf26e0e445719a9f14e80e16356983d1132118f799f1fda23b0b50,xlsx_sheet,annual,32,92,03_提取表格/WEB-0048/WEB-0048-R01-E016/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E016,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, constant 2010 LCU, millions, seas. adj..xlsx",.xlsx,126722,87a5edef83bf26e0e445719a9f14e80e16356983d1132118f799f1fda23b0b50,xlsx_sheet,quarterly,122,92,03_提取表格/WEB-0048/WEB-0048-R01-E016/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E017,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,144081,44905012479cecb693e6aaf78ae2e5a42685389a210aacb6fb6e5305d28f1120,xlsx_sheet,annual,32,100,03_提取表格/WEB-0048/WEB-0048-R01-E017/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E017,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,144081,44905012479cecb693e6aaf78ae2e5a42685389a210aacb6fb6e5305d28f1120,xlsx_sheet,quarterly,122,100,03_提取表格/WEB-0048/WEB-0048-R01-E017/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E018,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, current LCU, millions, seas. adj..xlsx",.xlsx,127008,689e70a671b9c3af086035c842ce5fb237e22c2a9d38327d0b64b279fa429210,xlsx_sheet,annual,32,91,03_提取表格/WEB-0048/WEB-0048-R01-E018/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E018,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, current LCU, millions, seas. adj..xlsx",.xlsx,127008,689e70a671b9c3af086035c842ce5fb237e22c2a9d38327d0b64b279fa429210,xlsx_sheet,quarterly,122,91,03_提取表格/WEB-0048/WEB-0048-R01-E018/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E019,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, current US$, millions, seas. adj..xlsx",.xlsx,150764,75fce33024650b99c29c48396eb981816208131a6da88463231b762458288f19,xlsx_sheet,annual,32,104,03_提取表格/WEB-0048/WEB-0048-R01-E019/annual.csv,EXTRACTED,
